Zone,PavilionID,Name-JP,Name-EN,AdvanceReservation,OnTheDayReservation,FirstComeFirstServed,WalkIn,EntryType,Duration,Open,Close,Latitude,Longitude,Note
C,C01,ネパール,Nepal,,,,,,,,,,,未開館
C,C02,ルクセンブルク,Luxembourg,0,0,1,0,First-Come,30,9:00,21:00,,,
C,C03,ドイツ,Germany,0,0,1,0,First-Come,40,9:00,21:00,,,
C,C04,大韓民国,Republic of Korea,1,1,1,0,First-Come,30,9:00,21:00,,,
C,C05,コモンズ-F館,Commons-F Pavilion,0,0,0,1,Walk-In,10,9:00,21:00,,,
C,C06,デジタルウォレットパーク,Digital Wallet Park,0,0,0,2,Walk-In,,11:00,18:00,,,「ミャクポ！」との交換で入館可
C,C07,アゼルバイジャン,Azerbaijan,0,0,0,1,Walk-In,20,9:00,21:00,,,
C,C08,ポップアップステージ北,Pop-Up Stage North,,,,,,,,,,,
C,C09,夜の地球,Earth at Night,0,0,0,1,Walk-In,20,9:00,21:00,,,
C,C10,モナコ,Monaco,0,0,0,1,Walk-In,60,9:30,21:00,,,
C,C11,トルコ,Turkiye,0,0,0,1,Walk-In,20,9:30,21:00,,,
C,C12,タイ,Thailand,1,1,1,0,First-Come,30,9:30,21:00,,,
C,C13,スペイン,Spain,0,0,1,0,First-Come,30,9:30,21:00,,,
C,C14,サウジアラビア王国,Saudi Arabia,0,0,0,1,Walk-In,25,9:00,21:00,,,
C,C15,オーストラリア,Australia,1,1,1,0,First-Come,15,9:00,21:00,,,
C,C16,インドネシア,Indonesia,0,0,1,0,First-Come,30,9:00,21:00,,,
C,C17,インド（バーラト）,India - Bharat,0,0,2,0,,30,9:00,21:00,,,当日整理券あり
C,C18,ウズベキスタン,Uzbekistan,2,0,0,1,Walk-In,20,9:30,21:00,,,現在予約が完了している方のみ
C,C19,セルビア,Serbia,1,0,1,1,Both,30,9:00,21:00,,,
C,C20,バングラデシュ,Bangladesh,0,0,1,0,First-Come,20,9:00,21:00,,,
C,C21,セネガル,Senegal,0,0,1,0,First-Come,20,9:00,21:00,,,
C,C22,エジプト,Egypt,0,0,1,0,First-Come,10,9:00,21:00,,,
C,C23,コモンズ-B館,Commons-B Pavilion,0,0,0,1,Walk-In,,9:00,21:00,,,
S,S01,コモンズ-C館,Commons-C Pavilion,0,0,0,1,Walk-In,,9:00,21:00,,,
S,S02,チリ,Chile,0,0,0,1,Walk-In,15,9:00,21:00,,,
S,S03,チュニジア,Tunisia,0,0,1,0,First-Come,30,9:00,21:00,,,
S,S04,カンボジア,Cambodia,0,0,1,0,First-Come,15,9:00,21:00,,,
S,S05,アルジェリア,Algeria,0,0,0,1,Walk-In,20,9:00,21:00,,,
S,S06,バルト（ラトビア＆リトアニア）,Baltic Latvia and Lithuania,0,0,0,1,Walk-In,20,9:00,21:00,,,
S,S07,欧州連合,EU,0,0,0,1,Walk-In,15,9:00,21:00,,,
S,S08,ベルギー,Belgium,0,0,1,0,First-Come,25,9:00,21:00,,,
S,S09,イタリア・バチカン,Italy and The Holy See,2,1,1,0,First-Come,30,9:00,21:00,,,独自の予約システム
S,S10,,,,,,,,,,,,,
S,S11,シンガポール,Singapore,0,0,0,1,Walk-In,45,9:00,21:00,,,
S,S12,ブルガリア,Bulgaria,0,0,1,0,First-Come,20,9:30,21:00,,,
S,S13,オランダ,Netherlands,1,1,0,2,Walk-In,25,9:00,21:00,,,9:00〜11:00は自由入場可、それ以降は予約のみ
S,S14,コモンズ-D館,Commons-D Pavilion,0,0,0,1,Walk-In,,9:00,21:00,,,
S,S15,オマーン,Oman,0,0,1,0,First-Come,15,9:30,21:00,,,
S,S16,ハンガリー,Hungary,1,1,1,0,First-Come,15,9:00,21:00,,,
S,S17,コモンズ-E館,Commons-E Pavilion,,,,,,,,,,,
S,S18,団体休憩所,Group Rest Area,,,,,,,,,,,14:30以降一般開放
S,S19,団体休憩所,Group Rest Area,,,,,,,,,,,14:30以降一般開放
S,S20,ポーランド,Poland,1,1,0,1,Walk-In,40,9:30,21:00,,,
S,S21,ルーマニア,Romania,0,0,1,1,Both,30,9:00,21:00,,,
S,S22,英国,United Kingdom,1,0,1,0,First-Come,20,9:00,21:00,,,
S,S23,アンゴラ,Angola,,,,,,,9:00,21:00,,,終日休館
P,P01,アイルランド,Ireland,0,0,2,1,Both,30,9:00,21:00,,,一部当日整理券あり
P,P02,マレーシア,Malaysia,0,0,1,1,Both,19,9:00,21:00,,,
P,P03,コモンズ-A館,Commons-A Pavilion,0,0,0,1,Walk-In,,9:00,21:00,,,
P,P04,ヨルダン,Jordan,0,0,1,0,First-Come,10,9:00,21:00,,,
P,P05,ぺルー,Peru,0,0,0,1,Walk-In,15,9:00,21:00,,,
P,P06,,,,,,,,,,,,,
P,P07,空飛ぶクルマステーション,Advanced Air Mobility Station,1,1,0,2,Walk-In,40,9:20,21:00,,,体験希望の方は要予約
P,P08,モザンビーク,Mozambique,0,0,1,0,First-Come,30,9:00,21:00,,,
P,P09,フィリピン,Philippines,0,0,1,0,First-Come,30,9:00,21:00,,,
P,P10,ポップアップステージ東内,Pop-Up Stage Inner East,,,,,,,,,,,
P,P11,アメリカ合衆国,United States of America,0,0,1,0,First-Come,25,9:00,21:00,,,
P,P12,フランス,France,0,0,1,0,First-Come,25,9:00,21:00,,,
P,P13,フェスティバル・ステーション,Festival Station,,,,,,,,,,,
P,P14,ロボット＆モビリティステーション,ROBOT & MOBILITY STATION,0,0,1,0,Walk-In,30,9:00,21:00,,,
P,P15,ベトナム,Viet Nam,0,0,0,1,,15,9:00,21:00,,,
P,P16,ミャクミャクハウス,MYAKU-MYAKU's House,0,0,0,1,Walk-In,,10:00,19:00,,,
P,P17,カタール,Qatar,0,0,1,0,First-Come,25,9:00,21:00,,,
P,P18,アラブ首長国連邦,United Arab Emirates,1,0,1,1,Both,15,9:00,21:00,,,
P,P19,カナダ,Canada,1,1,2,0,First-Come,15,9:00,21:00,,,10:15〜13:45は予約制のみ
P,P20,ポルトガル,Portugal,2,0,1,0,First-Come,14,9:00,21:00,,,4月13日時点で予約を取得済みの方のみ
P,P21,コロンビア,Colombia,0,0,1,1,Both,20,9:00,21:00,,,
P,P22,スイス,Switzerland,0,0,1,0,First-Come,20,9:00,21:00,,,
P,P23,オーストリア,Austria,0,0,1,0,First-Come,30,9:00,21:00,,,レストランは終日休業
P,P24,,,,,,,,,,,,,
P,P25,団体休憩所,Group Rest Area,,,,,,,,,,,14:30以降一般開放
P,P26,ブラジル,Brazil,2,0,0,1,Walk-In,20,9:00,21:00,,,4月16日時点で予約を取得済みの方のみ
P,P27,クウェート,Kuwait,1,1,1,1,Both,30,9:00,21:00,,,
P,P28,中華人民共和国,China,0,0,0,1,Walk-In,30,9:00,21:00,,,
P,P29,国際機関館,International Organization Pavilion,0,0,0,1,Walk-In,,9:00,21:00,,,
P,P30,国際連合,The United Nations,1,1,1,0,First-Come,20,9:30,21:00,,,
P,P31,国際赤十字・赤新月運動,International Red Cross and Red Crescent Movement,1,1,0,0,Reservation-Only,30,9:00,21:00,,,
P,P32,,,,,,,,,,,,,
P,P33,,,,,,,,,,,,,
P,P34,バーレーン,Bahrain,0,0,0,1,Walk-In,20,9:00,21:00,,,
P,P35,トルクメニスタン,Turkmenistan,0,0,1,0,First-Come,20,9:00,21:00,,,
P,P36,北欧館,Nordic,0,0,0,1,Walk-In,20,9:00,21:00,,,
P,P37,マルタ,Malta,0,0,0,1,Walk-In,20,9:30,21:00,,,
P,P38,チェコ,Czechia,0,0,0,1,Walk-In,30,9:00,21:00,,,
P,-,パビリオン/イベント当日登録・免税センター,Pavilion and Event On-Site Registration/Tax Refund Center,0,0,0,1,Walk-In,,10:00,21:00,,,
X,X01,Better Co-Being （宮田 裕章）,Better Co-Being,1,1,0,0,Reservation-Only,45,9:30,21:00,,,
X,X02,いのちの未来（石黒 浩）,Future of Life,1,1,0,0,Reservation-Only,60,9:30,21:00,,,キャンセル待ち
X,X03,いのちの遊び場 クラゲ館（中島 さち子）,Playground of Life: Jellyfish Pavilion,1,1,0,2,Partially Walk-In,37,9:30,21:00,,,一部自由入場エリアあり
X,X04,null2（落合 陽一）,null2,1,1,1,0,First-Come,30,9:30,21:00,,,当日整理券あり
X,X05,いのち動的平衡館（福岡 伸一）,DYNAMIC EQUILIBRIUM OF LIFE,1,1,0,0,Reservation-Only,15,9:30,21:00,,,キャンセル待ち
X,X06,いのちめぐる冒険（河森 正治）,LIVE EARTH JOURNEY,1,1,0,2,Partially Walk-In,50,9:30,21:00,,,一部自由入場エリアあり
X,X07,EARTH MART（小山 薫堂）,EARTH MART,1,1,0,0,Reservation-Only,40,9:30,21:00,,,
X,X08,Dialogue Theater - いのちのあかし -（河瀬 直美）,Dialogue Theater - sign of life -,1,1,1,2,"First-Come,Partially Walk-In",55,9:30,21:00,,,一部自由入場エリアあり
W,W01,テーマウィークスタジオ,Theme Week Studio,1,1,0,0,Walk-In,60,9:00,21:00,,,期間により営業時間は変動
W,W02,TECH WORLD,TECH WORLD,1,1,1,0,First-Come,30,9:30,21:00,,,最終入場は20:30
W,W03,ガスパビリオンおばけワンダーランド,GAS PAVILION OBAKE WONDERLAND,1,1,0,2,Partially Walk-In,40,9:30,21:00,,,一部自由入場エリアあり
W,W04,飯田グループ×大阪公立大学共同出展館,Joint Pavilion Iida Group × Osaka Metropolitan Univ.,1,1,1,0,First-Come,45,9:30,21:00,,,
W,W05,ORA外食パビリオン「宴～UTAGE～」,ORA Gaishoku Pailion「〜UTAGE〜」,0,0,0,1,Walk-In,20,9:30,21:00,,,
W,W06,BLUE OCEAN DOME,BLUE OCEAN DOME,1,1,0,2,Walk-In,30,9:30,21:00,,,一部自由入場エリアあり
W,W07,GUNDAM NEXT FUTURE PAVILION,GUNDAM NEXT FUTURE PAVILION,1,1,0,0,Reservation-Only,50,9:00,21:00,,,
W,W08,ポップアップステージ西,Pop-Up Stage West,,,,,,,,,,,
W,W09,PASONA NATUREVERSE,PASONA NATUREVERSE,1,1,1,0,First-Come,30,9:00,21:00,,,
W,W10,よしもと waraii myraii館,YOSHIMOTO Pavilion waraii myraii,0,0,0,1,Walk-In,30,9:00,21:00,,,
W,W11,EXPOメッセ「WASSE」,EXPO Exhibition Center “WASSE”,,,,,,,,,,,
E,E01,関西パビリオン,KANSAI Pavilion,1,1,0,0,Reservation-Only,60,9:15,21:00,,,
E,E02,大阪ヘルスケアパビリオン Nest for Reborn,Osaka Healthcare Pavilion,1,1,1,2,First-Come,60,9:00,21:00,,,一部自由入場エリアあり
E,E03,NTTパビリオン,NTT Pavilion,2,2,0,1,Walk-In,30,9:00,21:00,,,要予約エリアは10:00〜21:00
E,E04,ポップアップステージ東外,Pop-Up Stage Outer East,,,,,,,,,,,
E,E05,三菱未来館,Mitsubishi Pavilion,1,1,1,0,First-Come,60,9:00,21:00,,,
E,E06,パナソニックグループパビリオン「ノモの国」,Panasonic Group Pavilion,1,1,0,0,Reservation-Only,60,9:30,21:00,,,
E,E07,住友館,Sumitomo Pavilion,1,1,1,0,First-Come,65,9:00,21:00,,,
E,E08,電力館 可能性のタマゴたち,Electric Poewr Pavilion,1,1,0,0,Reservation-Only,45,9:30,21:00,,,
E,E09,ウーマンズ パビリオン in collaboration with Cartier,Women's Pavilion,1,1,0,0,First-Come,30,9:00,21:00,,,
E,E10,日本館,Japan Pavilion,1,1,0,2,Partially Walk-In,40,9:30,21:00,,,9:30～10:30、19:30~20:30については予約なしで入館可能
E,E11,EXPOホール「シャインハット」,EXPO Hall “Shining Hat”,,,,,,,,,,,
E,E12,EXPOナショナルデーホール「レイガーデン」,EXPO National Day Hall “Ray Garden”,,,,,,,,,,,
E,E13,ギャラリーEAST,Gallery EAST,,,,,,,,,,,
E,E14,ラウンジ&ダイニング,Rounge & Dining,,,,,,,,,,,
E,E15,ポップアップステージ南,Pop-Up Stage South,,,,,,,,,,,
L,L01,ギャラリーWEST,Gallery EAST,,,,,,,,,,,
L,L02,フューチャーライフエクスペリエンス（フューチャーライフヴィレッジ内）,Future Life Village,0,0,0,1,Walk-In,30,10:00,21:00,,,
L,L03,「TEAM EXPOパビリオン」（フューチャーライフヴィレッジ内）,,0,0,0,1,Walk-In,30,10:00,21:00,,,
L,L04,モビリティエクスペリエンス,Mobility Experience,0,0,0,0,Reservation-Only,40,9:00,18:00,,,原則入館不可（イベント時のみ入館）
L,L05,未来の都市,Future City,1,1,1,0,First-Come,35,9:20,21:00,,,予約のない方は未来シアターの入場不可
L,L06,EXPOアリーナ「Matsuri」,EXPO Arena “Matsuri”,,,,,,,,,,,
L,L07,ジュニアSDGsキャンプ,Junior SDGs Camp,0,0,0,1,Walk-In,15,9:00,20:30,,,
L,L08,万博サウナ「太陽のつぼみ」,EXPO SAUNA “TAIYO's TSUBOMI”,,,,,,,,,,,
M,-,カーボンリサイクルファクトリー（RITE）,Carbon Recycle Factory(RITE),1,1,0,0,Reservation-Only,60,10:00,17:00,,,毎週木曜日休館
M,-,カーボンリサイクルファクトリー（大阪ガス）,Carbon Recycle Factory（OSAKA GAS）,1,1,0,0,Reservation-Only,80,10:40,17:00,,,
